time_local,total_load_actual,hour,month,day_of_week,temp_madrid,temp_barcelona,temp_seville,lag_24h,lag_168h,rolling_mean_24h
2015-01-08 00:00:00+01:00,26788.0,0,1,3,268.059,284.55,277.159,30518.0,25385.0,32105.0
2015-01-08 01:00:00+01:00,25146.0,1,1,3,267.7175,284.35,276.905,28484.0,24382.0,31949.583333333332
2015-01-08 02:00:00+01:00,23889.0,2,1,3,267.376,284.15,276.651,27026.0,22734.0,31810.5
2015-01-08 03:00:00+01:00,23046.0,3,1,3,267.376,283.85,276.651,26248.0,21286.0,31679.791666666668
2015-01-08 04:00:00+01:00,22587.0,4,1,3,267.376,283.85,276.651,25838.0,20264.0,31546.375
2015-01-08 05:00:00+01:00,22361.0,5,1,3,267.376,283.45,276.651,26021.0,19905.0,31410.916666666668
2015-01-08 06:00:00+01:00,22551.0,6,1,3,266.774,283.35,276.524,26992.0,20010.0,31258.416666666668
2015-01-08 07:00:00+01:00,22543.0,7,1,3,266.774,283.25,276.524,28625.0,20377.0,31073.375
2015-01-08 08:00:00+01:00,24042.0,8,1,3,266.774,283.04,276.524,31015.0,20094.0,30819.958333333332
2015-01-08 09:00:00+01:00,25932.0,9,1,3,269.524,283.04,278.274,33276.0,20637.0,30529.416666666668
2015-01-08 10:00:00+01:00,27664.0,10,1,3,269.524,287.26,278.274,34221.0,22250.0,30223.416666666668
2015-01-08 11:00:00+01:00,28448.0,11,1,3,269.524,287.66,278.274,34796.0,23547.0,29950.208333333332
2015-01-08 12:00:00+01:00,28881.0,12,1,3,281.243,287.25,285.243,35535.0,24133.0,29685.708333333332
2015-01-08 13:00:00+01:00,29329.0,13,1,3,281.243,287.96,285.243,35752.0,24713.0,29408.458333333332
2015-01-08 14:00:00+01:00,29026.0,14,1,3,283.599,288.35,286.949,35605.0,24672.0,29140.833333333332
2015-01-08 15:00:00+01:00,28237.0,15,1,3,283.599,288.85,286.949,36020.0,23528.0,28866.708333333332
2015-01-08 16:00:00+01:00,27868.0,16,1,3,281.52025,287.71475,286.37025,36066.0,23118.0,28542.416666666668
2015-01-08 17:00:00+01:00,27654.0,17,1,3,281.51,285.35165625,287.22665625,36195.0,23606.0,28200.833333333332
2015-01-08 18:00:00+01:00,27507.0,18,1,3,278.397,284.8303125,285.93034375,35739.0,26447.0,27844.958333333332
2015-01-08 19:00:00+01:00,27544.0,19,1,3,275.284,283.45,284.634,35188.0,28020.0,27501.958333333332
2015-01-08 20:00:00+01:00,27578.0,20,1,3,270.334,283.65,281.23400000000004,34470.0,29014.0,27183.458333333332
2015-01-08 21:00:00+01:00,28222.0,21,1,3,270.334,282.95,281.23400000000004,33716.0,29571.0,26896.291666666668
2015-01-08 22:00:00+01:00,28221.0,22,1,3,270.334,282.54,281.23400000000004,32697.0,29031.0,26667.375
2015-01-08 23:00:00+01:00,26436.0,23,1,3,269.29400000000004,282.75,278.944,30477.0,26798.0,26480.875
2015-01-09 00:00:00+01:00,27485.0,0,1,4,269.29400000000004,283.55,278.944,26788.0,27070.0,26312.5
2015-01-09 01:00:00+01:00,25750.0,1,1,4,269.29400000000004,283.45,278.944,25146.0,24935.0,26341.541666666668
2015-01-09 02:00:00+01:00,24760.0,2,1,4,269.248,283.15,278.148,23889.0,23214.0,26366.708333333332
2015-01-09 03:00:00+01:00,24188.0,3,1,4,269.248,283.55,278.148,23046.0,22540.0,26403.0
2015-01-09 04:00:00+01:00,23840.0,4,1,4,269.248,284.76,278.148,22587.0,22096.0,26450.583333333332
2015-01-09 05:00:00+01:00,24030.0,5,1,4,269.495,282.0365,278.0325,22361.0,22066.0,26502.791666666668
2015-01-09 06:00:00+01:00,25965.0,6,1,4,269.16200000000003,281.17,277.612,22551.0,22275.0,26572.333333333332
2015-01-09 07:00:00+01:00,28266.0,7,1,4,269.16200000000003,281.06,277.612,22543.0,23025.0,26714.583333333332
2015-01-09 08:00:00+01:00,29981.0,8,1,4,269.16200000000003,280.95,277.612,24042.0,23699.0,26953.041666666668
2015-01-09 09:00:00+01:00,31932.0,9,1,4,270.453,283.105,278.228,25932.0,25834.0,27200.5
2015-01-09 10:00:00+01:00,33325.0,10,1,4,271.744,285.26,278.844,27664.0,27927.0,27450.5
2015-01-09 11:00:00+01:00,34144.0,11,1,4,277.7535,285.755,281.7535,28448.0,29072.0,27686.375
2015-01-09 12:00:00+01:00,35040.0,12,1,4,283.763,286.25,284.663,28881.0,29071.0,27923.708333333332
2015-01-09 13:00:00+01:00,35524.0,13,1,4,283.763,286.76,284.663,29329.0,29439.0,28180.333333333332
2015-01-09 14:00:00+01:00,34579.0,14,1,4,283.763,287.27,284.663,29026.0,29241.0,28438.458333333332
2015-01-09 15:00:00+01:00,33792.0,15,1,4,285.1625,286.991,286.9625,28237.0,27973.0,28669.833333333332
2015-01-09 16:00:00+01:00,33768.0,16,1,4,280.9381875,286.382375,285.25821875,27868.0,27320.0,28901.291666666668
2015-01-09 17:00:00+01:00,33696.0,17,1,4,283.275,286.1583125,288.225,27654.0,27157.0,29147.125
2015-01-09 18:00:00+01:00,33154.0,18,1,4,279.988,285.6046875,287.188,27507.0,29045.0,29398.875
2015-01-09 19:00:00+01:00,32440.0,19,1,4,276.701,284.77,286.151,27544.0,31967.0,29634.166666666668
2015-01-09 20:00:00+01:00,32384.0,20,1,4,274.85934375,284.60934375,284.9343125,27578.0,33266.0,29838.166666666668
2015-01-09 21:00:00+01:00,33976.0,21,1,4,273.01765625,284.16765625,283.7176875,28222.0,33668.0,30038.416666666668
2015-01-09 22:00:00+01:00,31420.0,22,1,4,273.001,283.801,283.076,28221.0,32426.0,30278.166666666668
2015-01-09 23:00:00+01:00,28825.0,23,1,4,270.551,283.3343125,281.66765625,26436.0,29705.0,30411.458333333332
2015-01-10 00:00:00+01:00,24899.0,0,1,5,269.926,282.94265625,280.8343125,27485.0,25564.0,30511.0
2015-01-10 01:00:00+01:00,23505.0,1,1,5,269.76975,282.4615,280.34475,25750.0,23584.0,30403.25
2015-01-10 02:00:00+01:00,22589.0,2,1,5,269.301,282.04,279.626,24760.0,22194.0,30309.708333333332
2015-01-10 03:00:00+01:00,22177.0,3,1,5,268.92900000000003,282.567,278.7635,24188.0,21296.0,30219.25
2015-01-10 04:00:00+01:00,22025.0,4,1,5,268.557,282.27,277.901,23840.0,21145.0,30135.458333333332
2015-01-10 05:00:00+01:00,22426.0,5,1,5,268.5185,282.317,277.8145,24030.0,21316.0,30059.833333333332
2015-01-10 06:00:00+01:00,24361.0,6,1,5,268.48,281.54,277.728,25965.0,21674.0,29993.0
2015-01-10 07:00:00+01:00,27890.0,7,1,5,268.028,281.45,277.728,28266.0,22127.0,29926.166666666668
2015-01-10 08:00:00+01:00,29335.0,8,1,5,269.22434375,282.79734375,278.1493125,29981.0,22756.0,29910.5
